id,name,alternate_roles,keywords
81,Active Directory,"GPO, Systems Engineer, Configuration manager, SCCM, Intune, patch management, MSP, MECM, MDM, Powershell script, Endpoint, Security policy, Help desk, Windows autopilot, Application packaging, OS deployment, Service now, ITSM, Automation Engineer, Jamf, office 365, microsoft 365, Modern work place, Network Engineer, DNS, DHCP","Systems Engineer, Endpoint Systems Engineer, Microsoft Systems Engineer, Windows Systems Engineer, IT Systems Engineer, Infrastructure Engineer, Intune Engineer, Endpoint Management Engineer, Workplace Technology Engineer, Device Management Engineer, Active Directory Engineer, Active Directory, Group Policy Engineer, GPO Engineer, Modern Workplace Engineer, Systems Administrator, Desktop Infrastructure Engineer, IT Operations, Client Platform Engineer, End User Computing, EUC, IT Configuration Management Engineer, Enterprise Mobility Engineer, Intune, SCCM, Endpoint Security Engineer, Microsoft Endpoint Configuration, MECM, Workplace Solutions Architect, Endpoint Management Solutions Architect, Identity and Access Management,Endpoint Protection Engineer, Active Directory Security Engineer, Patch Management Engineer, Endpoint Management, Microsoft Systems Administration, Infrastructure Management, Microsoft Intune, Device Management, Active Directory, Group Policy Objects, GPO, Modern Workplace Solutions, Desktop Infrastructure, IT Operations, Client Platform Support, Configuration Management, Enterprise Mobility Management, EMM, Endpoint Security, Identity and Access Management, IAM, Patch Management, Workplace Technology, Security Policy Enforcement, Device Provisioning & Enrollment, Software Deployment, Security Compliance, Automation & Scripting, PowerShell, Hybrid Environment Management, Azure AD, Conditional Access Policies, Endpoint Protection Solutions, Solution Architecture, Technical Support, Troubleshooting, Cloud Infrastructure, On-Prem Infrastructure, Device Lifecycle Management, Application Lifecycle Management, Zero Trust Architecture, Role Based Access Control, RBAC, Multi Factor Authentication, MFA, System Monitoring and Reporting, DNS, DHCP, Network Engineer"
82,Anti Money Laundering (AML),"KYC Analyst, BSA, Fraud Analyst, Financial Analyst, Financial Crime, Risk Analyst, compliance analyst, sanctions, SAR, OFAC","AML, Anti Money Laundering, Anti-Money Laundering, Anti-Fraud, Transaction Monitoring, Compliance Analyst, Compliance Specialist, KYC, Risk Analyst, Risk Specialist, Client Due Diligence, Client Onboarding, Know Your Customer, CDD, Onboarding, BSA, Bank Secrecy Act, Fraud Analyst, Fraud Detection, Fraud Investigator, Fraud Risk Analyst, Financial Crime, ABAC, Anit Bribery and Anti Corruption, Anti-Bribery & Corruption, Financial Crime, Fraud Risk, Credit Risk, Market Risk, Operational Risk, Risk Analyst, Compliance Risk Analyst, Compliance Risk Specialist, Audit Analyst, Audit Specialist, FP&A Analyst, Finance Analyst, Investment Analyst, Treasury Analyst, SAR, Fraud Analyst, Financial Crime, Sanctions, Compliance, Risk Analyst, Risk Management, SAR, OFAC, Sanctions, Risk Analyst, Risk Management"
84,Biotechnology,"Molecular Biology, Microbiology, Biochemist, Biopharma, Pharmaceutical Research, Life Sciences","Biotech, Biotechnology, Molecular Biology, Molecular Biologist, Molecular, Microbiology, Microbiologist, Biochemistry, Biochemist, Biopharma, Biopharmaceutical, Biomedical, Geneticist, Cell Biologist, Stem Cell, Life Sciences, Biosciences, R&D, Research Associate, Research Assistant, Clinical Research, Clinical trials, Drug Discovery, Pharmaceutical, Pharmacologist, Preclinical, Genomics, Proteomics, Bioanalytical, Biomanufacturing, GMP, GCP"
85,Biotechnology Internship,"Patient Access, Clinical Trials, Medical Affairs, Medical Access, Pharmacovigilance, Project Management, Business Development, Marketing, Growth","Biotech, Biotechnology, Project Management, Project, Product, Program, Business Developement, Marketing, Growth"
86,Business Analyst,Data Analyst,"Business, Scrum, Business Analyst, Business Intelligence, BI, Data Analyst, Data Platform Engineer, Reporting Analyst, BI, Operations Analyst, Operations Specialist, Product Analyst, Product Specialist, Reporting, Analytics Visualization Engineer, Power BI, Business Intelligence, Data Specialist, Tableau, Visualization, Dashboard, Data Visualization, Analytics Consultant, Power BI/Tableau Developer,Business analyst"
87,Business Intelligence Engineer,"Product Analytics Engineer, Data Analyst,  Power BI, Tableau, Data Visualisation, Reporting, Data Analytics","Business Intelligence, Business Insights, Analytics Engineer, Product Analytics, Analytics Engineer, Analytics Technologist, Data Analyst, Data Platform Engineer, Reporting Analyst, Operations Analyst, Operations Specialist, Product Analyst, Product Specialist, Reporting, Analytics Visualization, Power BI, Data Specialist, Tableau, Visualization, Dashboard, Data Visualization, Analytics Consultant, Power BI/Tableau Developer, Wealth Management, Data Analyst, Data Platform Engineer, Reporting Analyst, Operations Analyst, Operations Specialist, Product Analyst, Product Specialist, Reporting, Analytics Visualization, Power BI, Business Intelligence, Data Specialist, Tableau, Visualization, Dashboard, Data Visualization, Analytics Consultant, Power BI/Tableau Developer, Business analyst"
88,CLINICAL DATA ANALYST,"Clinical Informatics, Health Informatics","Healthcare Data Scientist, Clinical Data Scientist, Clinical Decision Support Data, Healthcare Data, Healthcare ML, Clinical Data, Medical Data, Clinical Informatics, EHR Data, Health Data, Medical Data, Population Health, Data Scientist, Data Science, Data Mining Specialist, Data Analyst, Data Specialist, Healthcare, Clinical, Data"
89,Clinical Research Coordinator,"Clinical Trials Coordinator, Clinical Study Coordinator, Clinical Site Coordinator, Clinical Trial Site Coordinator, Clinical Trials, Clinical Research","Clinical Research Coordinator, Clinical Research Assistant, Clinical Research Associate, Clinical Trials Coordinator, Clinical Trials Assistant, Clinical Trials Associate, Clinical Study Coordinator, Research Study Coordinator, Study Coordinator, Clinical Coordinator, Clinical Site Coordinator, Clinical Trial Support Specialist, Clinical Project Coordinator, Research Coordinator , Swat Coordinator, CRA, CRC, CTA, RSC, SC, Aide"
90,Cloud Engineer,"Cloud Engineer, Linux, IT Support, DevOps, Customer Cloud Support","Cloud Security & DevOps, Cloud, AWS, Azure, GCP, Kubernetes, Platform Engineer, Infrastructure Engineer, Infrastructure Reliability, Infrastructure Automation, Cloud Automation, Infrastructure as Code, IaC,  Cloud Engineer, Cloud Operations, Platform Support Engineer, Automation Engineer, Cloud, AWS, Cloud Operations, Platform Support, Infrastructure, Automation Engineer, Linux, IT Support, Cloud, DevOps Engineer, DevOps Architect, DevOps Consultant, DevOps Specialist, DevOps Automation Engineer, DevOps Infrastructure Engineer, DevOps, DevSecOps, DevOps Security, DevOps & Security Automation, Cloud Security & DevOps, Cloud DevOps, AWS DevOps, Azure DevOps, GCP DevOps, Kubernetes DevOps Engineer, Platform Engineer, Site Reliability Engineer, SRE, SRE/DevOps, SRE Architect, Infrastructure Engineer, Infrastructure Reliability, DevOps & Release, CI/CD, Infrastructure Automation, Cloud Automation, Infrastructure as Code (IaC), Systems Engineer DevOps. Build and Release, Cloud Engineer, Cloud Operations, Platform Support Engineer, Automation Engineer, Systems Engineer, Site Reliabilty, Cloud, AWS Devops, Build and Release Engineer, CI/CD, Cloud Operations, Platform Support, Infrastructure, Automation Engineer"
91,Computer Science,"Software Engineer (Junior & New Grad), Software Engineer - New Grad, Entry Level Software Developer, Business Analyst, Data Analyst","grad, Graduate, Entry Level, Software Developer, Software Engineer, Engineer, Technologist, Technology, Technology Specialist, software, developer, Engineer, frontend, backend, sql, fullstack, analyst, automation, devops, Python, web, AI, Artifical Intelligence, ML, machine learning, engineer, data analyst, data engineer, data science, data scientist, fullstack, Gen AI, devops"
92,Computer Science Internship,"Software Engineer, Data Analyst, Data Engineer, Data Scientist, Software Developer, Artificial Intelligence, Machine Learning ","Intern, Data Scientist, Data Science, Machine Learning, ML, Aritifical Intelligence, AI, Data Platform Engineer, Data Mining Specialist, Data Analyst, Data Specialist, Software Developer, Software Engineer, Technologist, Technology, Technology Specialist, software, developer, frontend, backend, sql, automation, devops, Python,  web, Java, .Net, Dot Net, Dotnet, fullstack, full-stack, full stack, Microsoft Stack Developer, Dot, Net, Dotnet, front-end, back-end, LAMP Stack, MEAN Stack, MERN Stack, Software Engineer, End-to-End Developer, Application Developer, Cross-platform, Frontend, Backend, Web Developer, Front End, Back End, Front-End, Back-End, Fullstack"
